IPA,Pinyin
p,b
pʰ,p
m,m
f,f
t,d
tʰ,t
n,n
l,l
k,g
kʰ,k
x,h
tɕ,j
tɕʰ,q
ɕ,x
ʈʂ,zh
ʈʂʰ,ch
ʂ,sh
ɻ~ʐ,r
ts,z
tsʰ,c
s,s
fəŋ,feng
tjou,diu
twei,dui
twən,dun
tʰɤ,te
ny,nü
ly,lü
kɤɚ,ger
kʰɤ,ke
xɤ,he
tɕjɛn,jian
tɕjʊŋ,jiong
tɕʰin,qin
ɕɥɛn,xuan
ʈʂɤ,zhe
ʈʂɨ,zhi
ʈʂʰɤ,che
ʈʂʰɨ,chi
ʂɤ,she
ʂɨ,shi
ɻɤ,re
ɻɨ,ri
tsɤ,ze
tswo,zuo
tsɨ,zi
tsʰɤ,ce
tsʰɨ,ci
sɤ,se
sɨ,si
a,a
o,o
ɔ,o
ɛ,e
ɤ,e
e,e
ai,ai
ei,ei
au,ao
ou,ou
an,an
ən,en
aŋ,ang
əŋ,eng
ʊŋ,ong
aɚ,er
i,i
u,u
ɻ̩~ʐ̩,i
ɹ̩~z̩,i
je,ye
jou,you
jɛn,yan
in,yin
iŋ,ying
jʊŋ,yong
u,wu
wo,wo
wei,wei
wən,wen
wəŋ,weng
y,yu
ɥe,yue
ɥɛn,yuan
yn,yun
