Last Name,姓氏,Ethnic
TAN,陳,Hokkien
LIM,林,Hokkien
LEE,李,Hokkien/Teowchew/Hainanese/Hakka
WONG,王,Cantonese
NG,黃,Teowchew
CHONG,鍾,Hakka
ONG,王,Hokkien
GOH,吳,Hokkien/Teowchew
CHAN,陳,Cantonese
YAP,葉,Hokkien/Hakka
LOW,劉,Teowchew
CHUA,蔡,Hokkien/Teowchew
GAN,顏,Hokkien
YONG,楊,Hakka
TEE,鄭,Teochew
CHIN,陳,Hakka
TEO,張,Hokkien
LAI,黎,Cantonese
LOH,羅,Cantonese
KOH,許,Teochew
HO,何,Cantonese
LAU,劉,Cantonese
CHEW,周,Hokkien/Teowchew
TEH,鄭,Hokkien/Teowchew
ANG,洪,Teochew
LIEW,劉,Hakka
TAY,戴,Hokkien/Teowchew
OOI,黃,Hokkien
PANG,馮,Hokkien
LEONG,梁,Cantonese
KHOO,邱,Hokkien
FOO,符,Hainanese
CHAI,蔡,Hakka
CHIA,謝,Hokkien/Teowchew
SIM,沈,Hokkien
SOH,蘇,Hokkien
TANG,唐/鄧,Teochew
CHOO,朱,Teochew
TEOH,張,Hokkien/Teowchew
CHEONG,張/鍾,Cantonese/Hakka
CHANG,常,Mandarin
TOH,杜,Hokkien
TAI,戴,Hokkien
YEO,楊,Hokkien
TEY,鄭,Teochew
CHENG,鄭,Cantonese
WEE,黃,Hokkien
LAW,羅,Cantonese
LOO,盧,Hakka
CHEN,陳,Mandarin
CHEE,謝,Hakka
CHEAH,謝,Hokkien
YEOH,楊,Hokkien
CHOW,周,Cantonese
HENG,王,Teowchew
KHOR,許,Hokkien
KOK,郭,Cantonese
KONG,江,Hokchew
TONG,董,Hokkien
FONG,方,Cantonese
LAM,林,Cantonese
YEE,余,Hokkien
SEE,施,Cantonese
LEW,劉,Hakka
SOO,蘇,Mandarin
SIOW,蕭,Teochew
CHU,朱,Mandarin
POH,傅,Hokkien
HONG,方,Hokchew
CHOONG,鍾,Hakka
ENG,黃,Teowchew
THAM,譚,Hokkien/Teowchew
TENG,陳/鄧,Hokchew
KANG,姜,Korean
YEW,游,Hokkien
WANG,王,Mandarin
TING,陳,Foochow
LEOW,廖,Teochew
PHANG,彭,Hakka
CHUAH,蔡,Hokkien/Teowchew
LING,林,Foochow
WOON,溫,Hakka
SIA,謝,Hokkien
HOW,郝,Mandarin
SOON,孫,Teochew
NEO,梁,Hokkien
YEOW,姚,Hokkien
HOO,何,Hokkien/Teochew/Cantonese/Hakka
BEH,馬,Hokkien
EE,余,Teochew
BONG,黃/王,Hakka
TAM,譚,Cantonese
OH,胡,Hokkien
CHUNG,鍾,Mandarin
KEE,紀,Teochew
LO,盧,Cantonese
KOO,古,Mandarin
YAU,姚,Mandarin
SIEW,蕭,Cantonese
MOK,莫,Teochew
SAM,岑,Cantonese
PUA,潘,Hokkien
LIU,劉,Mandarin
LOKE,陸,Cantonese
KUAN,關,Mandarin
YIP,葉,Cantonese
SAW,蘇,Hokkien
YEAP,葉,Hokkien/Teowchew
WAN,萬,Mandarin
SEOW,蕭/肖,Hakka
KOAY,郭,Teochew
QUEK,郭,Teochew
ER,余,Teochew
HEW,邱,Hakka
LI,黎,Mandarin
YANG,楊,Mandarin
FOONG,馮,Cantonese
CHING,鄭,Cantonese
PHUA,潘,Hokkien
CHIEW,趙,Cantonese
LIOW,廖,Teochew
LIAW,廖,Mandarin
WOO,胡,Korean
YU,尤,Mandarin
CHIANG,蔣,Mandarin
YEONG,楊,Cantonese
THONG,童,Cantonese
TIONG,張,Foochow
BOO,巫,Teochew
KWAN,關,Cantonese
KHO,許,Hokkien/Teowchew
LIANG,梁,Hokkien
LIN,林,Mandarin
SIN,冼,Cantonese
LOK,駱,Teochew
MAH,馬,Mandarin
CH'NG,庄,Hokkien
YAN,閻,Mandarin
KEK,郭,Teochew
MAK,馬,Cantonese
YOONG,熊,Hakka
HAU,郝,Teochew
TEW,張,Hokkien/Teowchew
WU,吳,Mandarin
LIAU,廖,Teochew
KU,顧,Cantonese
FAM,范,Hakka
AW,胡,Teochew
CHEOK,卓,Cantonese
PONG,龐,Cantonese
SO,蘇,Hokkien
LUM,藍,Hakka
DING,丁,Cantonese
WAI,韋,Cantonese
TIEW,張,Hokkien/Teowchew
TE,戴,Hokkien/Teowchew
LIONG,梁,Hakka
SONG,宋,Mandarin
SEAH,謝,Teochew
MA,馬,Mandarin
NEOH,梁,Hokkien
HAN,韓,Mandarin
TOO,陶,Cantonese
HON,韓,Cantonese
SENG,成,Hakka
CHOY,蔡,Cantonese
OON,溫,Hokkien
LUI,呂,Cantonese
LOI,雷,Foochow
TUNG,董,Mandarin
LOOI,雷,Foochow
KAM,金,Cantonese
KOW,高,Cantonese
SIAH,謝,Hokkien
LYE,賴,Cantonese
HEE,許,Foochow
HIEW,邱,Hakka
SOONG,宋,Hakka
ZHANG,張,Mandarin
HOR,何,Cantonese
PHOON,潘,Cantonese
GWEE,魏,Teochew
CHAM,湛,Cantonese
NGO,吳,Hokkien
HOE,何,Hokkien
GOO,顧,Cantonese
HUANG,黃,Mandarin
KHAW,許,Hokkien
PEE,彭,Hokkien
HII,許,Hakka
SU,蘇,Mandarin
TEOW,張,Hokkien/Teowchew
GO,吳,Hokkien/Teowchew
KAN,簡,Cantonese
OO,OO,Others
OW,歐,Mandarin
KO,高,Teochew
JONG,戎,Others
YUEN,阮,Mandarin
LU,盧,Mandarin
NGU,吳,Hokchew
CHO,曹,Cantonese
HEAH,顏,Teochew
YAW,姚,Mandarin
VOON,文,Hakka
PEH,白,Hokkien
LER,呂,Hokkien
YOW,姚,Hakka
HOOI,許,Cantonese
KUA,柯,Hokkien/Teochew
SHEE,施,Cantonese
HOH,侯,Hokkien
HUI,惠,Mandarin
TIU,張,Hokkien
CHEAM,詹,Hokkien
KEW,邱,Hakka
SUM,沈,Cantonese
LOONG,龍,Cantonese
MOO,武,Hakka
CHEANG,鄭,Cantonese
LOY,黎,Hokkien
HU,胡,Mandarin
NGOH,吳,Hokkien
TI,狄,Mandarin
PUAH,潘,Hokkien/Teowchew
CHIAM,詹,Hokkien
LONG,龍,Mandarin
PAN,潘,Hakka
YOON,尹,Hakka
SUN,申,Cantonese
CHAW,曹,Cantonese
KWONG,鄺,Cantonese
CHAU,周,Cantonese
H'NG,方,Hokkien
SER,史,Teochew
TEN,鄧,Hakka
QUAH,柯,Hokkien/Teochew
TIO,張,Hokkien
THEN,鄧,Hakka
LIAN,連,Mandarin
EU,余,Teochew
POON,潘,Cantonese
FAN,范,Mandarin
NEW,梁,Hokkien
KEH,郭,Hokkien
YOU,游,Mandarin
PUNG,方,Hokkien
KEONG,龔,Hakka
AU,歐,Cantonese
LENG,龍,Hokkien
LUA,賴,Hokkien
HAW,郝,Mandarin
LEO,劉,Mandarin
THEW,THEW,English
THAI,邰,Mandarin
HUAN,桓,Mandarin
KERK,KERK,English
HOON,雲,Hokkien/Teochew
NGAN,顏,Cantonese
TOK,卓,Hokkien
POK,朴,Cantonese
SEET,薛,Cantonese
OU,歐,Mandarin
